	logFC	logCPM	F	PValue	color
wu:fi09b08	-11.9244421280182	3.82162831943581	72.5585484859082	0.000131909828176209	blue
rnf146	-3.3823012055404	4.46258539237803	55.0192575214513	0.000137823992600881	blue
lmnb2	2.90619105376336	7.24330596443947	54.7711065926502	0.000139822534253336	red
bcl11ab	-11.1443424180566	3.04810074967823	70.6194983596307	0.000142446309426998	blue
afap1	-11.1319003384614	3.03554068467423	70.4556127107501	0.000143387373857319	blue
si:ch211-223k15.1	2.73874291787581	5.01130868339643	54.3237799472819	0.000143520017726283	red
clcn5b	2.6524728532473	5.55778391916054	54.1947141380263	0.000144610093823595	red
BX537263.5	-5.99741375899591	9.54175179296528	54.0974201473281	0.00014543885491256	blue
kmt2a	-11.3002431553797	3.20246574014208	70.0959466806837	0.000145481789865405	blue
bzw1a	3.1767041496549	9.32555831724702	54.0652153947347	0.000145714519719063	red
cd99	3.32031080350027	9.75747513058989	53.7547930290354	0.000148406327547873	red
gsto2	3.1776417835893	8.65584276537151	52.9003602112861	0.000156152196961041	red
hiat1b	2.58078764759729	6.79756291983469	52.829562310409	0.0001568170408508	red
si:dkey-46a10.3	-10.8319693968391	2.73900409424969	68.0111245224564	0.000158458879581204	blue
foxp4	2.05952823791759	8.66826868820513	52.5202772403037	0.000159764390546259	red
timp2b	2.29553456987148	6.47081947216235	51.8719017155124	0.000166177416992309	red
dennd1a	-8.72950065426889	2.81778763186644	51.5404458144974	0.000169583472426445	blue
ndufa6	1.97115644404748	6.39775812474168	51.5237869599697	0.000169757012082602	red
niban2b	3.05675695955368	7.36935314513637	51.458177786948	0.000170442698747734	red
pdlim4	-10.7416567696814	2.64939487555378	66.2338366270256	0.00017076321117032	blue
rhebl1	3.0990070128114	9.1251494350007	51.2431825771998	0.000172714667285875	red
cyth3a	2.09156988987623	5.90484935745651	51.1315213967767	0.000173909979531306	red
larp4ab	3.11512713756762	9.00969109006855	50.7621363757648	0.000177940552917861	red
dcun1d1	1.96807344093518	6.34395498659886	50.4719896707467	0.000181190844811263	red
coro2ba	-6.03103160019901	4.03498514368508	50.4562740622675	0.000181369060006208	blue
atxn1l	-10.6510351553817	2.56005888090287	64.6393485318131	0.00018290533308852	blue
dnajc5ga	2.40013974159609	6.50802970601666	50.3194436116812	0.0001829302578152	red
rgcc	2.88983582640923	8.2013818752776	50.2210892965675	0.000184063111529961	red
tead3b	-3.0602170394647	4.8176148071945	49.7424293869521	0.000189706640402875	blue
derl1	2.70195346382989	8.0184154887614	49.7079873782278	0.000190121226330993	red
plekhf1	2.26304492333902	9.23920145409743	49.354463834718	0.000194444592295837	red
epha7	2.61031160320227	5.35240623916435	49.0694375103897	0.000198022461015636	red
apoa4a	2.82328007183264	7.29363770056085	49.0643108807656	0.000198087584062151	red
actr3	-3.15473165864334	5.38756007762419	49.0322667030361	0.000198495260902054	blue
CASKIN2	-8.30319944229843	3.2204089674746	48.8942736493159	0.000200263199234494	blue
lrch3	-7.89365066913505	2.81541094749976	48.7563990901992	0.000202049837219046	blue
prrc2c	-9.06396218018889	3.14901843065152	48.6814609682698	0.00020302949529185	blue
glipr2l	2.56277030999768	4.70484211822009	48.5220112963157	0.000205134318701829	red
dcbld2	-10.6599577563126	2.56848839765831	60.9644299509013	0.000215605047013821	blue
smad4a	-10.5956000981936	2.50598746029487	60.7593810825579	0.000217650976615305	blue
vclb	-10.5518384316035	2.46203895355859	60.5364446426322	0.000219904753617602	blue
