	logFC	logCPM	F	PValue	color
EMC4	1.94172907491649	8.40950315374749	33.7537352956167	0.0004358613435933	red
RNF40	-3.19673626785335	4.89197488928974	33.6875825693128	0.000438646756119457	blue
TMED3	-1.53601040754895	6.24838238086167	33.682939259139	0.000438843105344772	blue
APRT	-2.59315394273778	4.69466246271219	33.6656023866102	0.000439577197353044	blue
MCC	1.81382133956688	6.00032833393766	33.6481242027785	0.000440318835606612	red
SNX21	-2.62627256869361	4.84374904739007	33.6458291234864	0.000440416337686919	blue
TICAM1	-4.05776293726919	3.68837910444017	33.6305556531804	0.000441065893576367	blue
SLIT2	3.66544731549194	6.02388863131189	33.5558381725802	0.00044426091352111	red
PAIP2	1.90000056286084	8.37999449947857	33.5291755843303	0.000445408079229263	red
FAM110A	-10.0097957652818	1.69473319369851	39.7719290768871	0.000445779253554557	blue
UBL4A	-2.17093811642116	5.05540545591397	33.5188519015422	0.000445853258279361	blue
JKAMP	1.43790123254001	7.27003803183155	33.504423753192	0.000446476367790189	red
PLAG1	1.7003122441829	5.23447048834916	33.4935946131434	0.000446944765712482	red
MAPKAPK3	-2.000316837016	5.30874890636543	33.4898484913723	0.000447106942235904	blue
FADS3	-2.93490385028115	4.35582992727659	33.465561552167	0.000448160164460708	blue
TCEAL9	1.53980720565541	7.40576248678316	33.4150118179524	0.00045036231007467	red
ZNF580	-2.39732759310224	4.91748038122187	33.3807260027245	0.00045186367811648	blue
PFKL	-4.58093759264911	5.18218252861565	33.3672938630505	0.00045245358289757	blue
TVP23B	1.72162994950903	8.13944357229794	33.3661612989549	0.0004525033664072	red
GPN1	1.36497217858646	7.08875452480159	33.3602796071247	0.000452762015492635	red
DDIT4	-2.23503232853176	7.23025898293178	33.3538755058152	0.000453043848993564	blue
PCNX3	-4.0749324339798	3.35857659875822	33.3140232133528	0.000454802643494025	blue
AAR2	-2.09033706039439	4.98836935721341	33.3008113250315	0.000455387614750543	blue
CSRP1	-1.55404394430933	6.51726839031746	33.2876145174704	0.000455972862485266	blue
NDST1	-2.3245805234452	5.19790710486407	33.2803940346617	0.000456293474173688	blue
FKBP9	1.42508338411754	8.35253740319288	33.2712828881719	0.000456698441541822	red
TRIM47	-2.48529926659603	4.23416799218982	33.2540514561345	0.000457465570652812	blue
ZCCHC10	1.63914239862745	5.68272643086864	33.2529586722796	0.000457514275069411	red
PDGFRB	-2.093582995392	5.48737363653516	33.2328697560222	0.000458410782493009	blue
HIPK3	1.49943265291948	6.01280672278163	33.2277156653743	0.000458641149702738	red
KLHDC3	-2.86504530076146	5.74936812105769	33.2029164059007	0.000459751613528221	blue
RAP2C	2.22642348869681	6.60811778090345	33.1313480703399	0.000462975308667772	red
WNT7B	-4.37105464034023	4.52974400098077	33.1306535989438	0.000463006729075924	blue
TYW5	1.57417233808029	6.00090630119823	33.1148891649767	0.000463720690690358	red
P3H4	-1.84911202199364	5.1297723069183	33.0808760536318	0.000465265842674292	blue
SRR	1.56831289142012	6.04268453880517	33.0390309797749	0.000467175673377484	red
C20orf27	-3.45714718390018	5.20695607572462	33.027219348164	0.000467716544446667	blue
MTPAP	1.75981052797453	6.25926300008799	32.9913380338734	0.000469364433177218	red
ASAH1	1.43301712998387	8.33174462719127	32.9730881059315	0.000470205380459204	red
GAPDH	-2.1091628703244	11.2632091554038	32.960374706282	0.000470792326518544	blue
RUFY3	2.57646205799287	5.04070021657248	32.9529546808951	0.000471135316173404	red
TBCD	-3.66335132541661	3.2354566282201	32.9390311780617	0.000471779776093819	blue
PLSCR1	1.39126995460482	7.48986126725519	32.9381965447588	0.000471818442914828	red
PDLIM2	-1.79042060719055	6.42465109135204	32.9235081276348	0.000472499578888317	blue
RBM34	1.76811286941149	5.9279868226748	32.9001531115453	0.00047358515166424	red
BAG6	-1.89700812519624	6.16564929119465	32.8998481063826	0.000473599349439292	blue
LINC00920	2.92052159710378	3.98471628781557	32.8711224277454	0.000474938910362702	red
TOB2	-2.44259105211983	4.60474694593348	32.8261665734815	0.000477044902488695	blue
TEX264	-2.11327575437399	5.10937208885335	32.8024775096402	0.000478159356812313	blue
FBXO45	1.51463319991927	5.87738960700594	32.7643221216848	0.000479961268814681	red
CXCL8	2.31312707283847	9.39944510944186	32.7308333629342	0.000481549833205875	red
DCUN1D4	1.86213984521039	6.92783871296352	32.6616674861696	0.000484851739323188	red
PTPRS	-4.12910803813246	4.26751292224473	32.6431797206692	0.000485739141070647	blue
PSMC2	1.47216336626581	8.56897043048799	32.6286707299171	0.000486436993841594	red
ZNF687	-7.77197789918944	1.83302161661128	32.6268343840479	0.000486525408122457	blue
CACNB1	-4.38400681821812	2.76906706743435	32.6023801362611	0.000487704730694603	blue
TPMT	1.49363877047837	7.15237281539694	32.5873672284615	0.000488430518276661	red
ATRAID	1.54019130848775	8.07637782404126	32.5099289641131	0.000492195845560201	red
THUMPD1	1.76244027598969	6.15423530967961	32.5060398202461	0.000492385910117465	red
MPG	-2.18266442789819	4.54839052416958	32.4979605548107	0.000492781043092751	blue
PTRH2	1.62636555830775	5.75068579213705	32.4934233676775	0.000493003118228775	red
THOC1	1.86577616583487	5.76691015209768	32.4851158220599	0.000493410061714215	red
PSMD7	1.39091335222606	7.37567370701809	32.4404834877157	0.000495603608717475	red
SLC4A2	-1.97988265603509	4.89157391316526	32.4115950554995	0.000497029925046075	blue
RBM7	1.61640925919969	6.97599582569309	32.3514092609533	0.000500018101981152	red
MTCH1	-1.86139694107016	7.30021096351459	32.3402308686886	0.000500575584024748	blue
MARCH6	1.71585620127076	9.09647159040337	32.3221615326829	0.000501478379910403	red
CLPTM1	-3.22254819271129	6.53908098109461	32.306538224064	0.000502260615260886	blue
SPOCD1	-1.850844422304	5.59371851124951	32.3055160827952	0.000502311845747875	blue
APOL2	1.63084527424593	7.99955102278046	32.3021351496948	0.000502481347442196	red
BCHE	1.5780812639639	6.25899002712554	32.2933840634472	0.000502920413494534	red
FBXO11	1.75658268854637	6.57250751841475	32.2803843993754	0.000503573532846097	red
CTSD	-4.84402711923357	8.92478353508744	32.273390345558	0.000503925363867896	blue
EAPP	2.05668853930562	7.10810902113789	32.2621251477791	0.000504492701574489	red
ANXA1	1.73570625596079	10.9806240480056	32.2598768531361	0.000504606026224446	red
PPP2R5B	-3.31139198488868	4.01422849127296	32.2390095413038	0.000505659365041142	blue
MSMO1	1.6362146649168	6.56221648645113	32.215346426753	0.000506857175867557	red
ACADVL	-1.66646069843051	7.33953118916008	32.2026785909183	0.000507499878634018	blue
HSBP1	1.45055890254109	8.46290268901731	32.1856879893156	0.000508363505873044	red
MTRNR2L1	-4.27861991296264	7.53312237359001	32.1735039369546	0.000508983954980293	blue
SMYD5	-2.92837588454536	4.10000054310701	32.1072004119256	0.000512377063906631	blue
TXNDC5	1.60881450393884	8.437329780946	32.1002597883668	0.00051273389452853	red
SF3B1	1.55038845962265	8.64521196127215	32.0918864122646	0.000513164801440665	red
TADA3	-1.80575977592731	5.87635208779698	32.088366378599	0.000513346083699362	blue
ACTN4	-1.85132750392151	7.43956163536734	32.0879268503869	0.000513368725119503	blue
ZNF428	-2.76196417966411	5.43889747806985	32.0815302232374	0.000513698376703002	blue
P4HB	-2.18544605213466	8.61956801824837	32.078396422984	0.000513859974876485	blue
CSF1R	-10.0906221482224	1.77362425523563	37.8436013054849	0.000516354681159848	blue
POMP	1.62791771262191	7.92193728997578	32.0170714409449	0.000517035167670586	red
TOP3B	-3.92660072923662	3.27445703169665	31.934735575612	0.000521337109386734	blue
MFSD10	-3.36827607159973	4.84930461950586	31.9167567812682	0.000522282454851928	blue
SLC25A11	-2.24217317644814	5.37993333956216	31.9107380138015	0.000522599409742485	blue
PON2	1.42039470017147	8.1457172415674	31.8504700310131	0.000525786555900775	red
VASN	-2.42691655671015	5.59353606439574	31.8286059608154	0.000526948827526421	blue
GPATCH2	2.23417276316331	5.4962740605243	31.7930120353947	0.000528847879956261	red
CYP2S1	-9.92077650110395	1.60509880295004	37.4881045039858	0.00053091154261054	blue
TMEM126B	1.9023523722273	7.14424040964105	31.7231464575321	0.000532600514700852	red
AC126755.1	-9.80331146436587	1.49347136192353	37.4442226998628	0.000532745054995576	blue
ITGAV	1.63694119463917	7.77554186291867	31.7041113888746	0.000533628726701362	red
ETNK1	1.63469525587849	6.80306639892452	31.684019359356	0.000534716740052726	red
SYAP1	1.50292493651902	7.59027599640618	31.6479306353918	0.000536678008682726	red
MRC2	-2.35317911149239	4.72187783675139	31.6425085464157	0.000536973456850784	blue
VARS	-2.69067150295236	4.15372934682822	31.6333860019992	0.000537471003262332	blue
MAPRE2	1.42189581495328	6.4419612371973	31.6252555511893	0.000537914928967062	red
PDIK1L	1.70733007061224	6.00756685825308	31.6094433552591	0.000538779601214542	red
AL691432.2	-10.3278730167425	2.00621145923633	37.2693137000776	0.000540135215397412	blue
TMED7-TICAM2	-10.1254124839616	1.80511071399087	37.2176476203868	0.000542343532764945	blue
WDR6	-1.87255278707983	5.24789287632906	31.5426325387769	0.000542452417554023	blue
AAAS	-2.6313685386443	4.37949821428448	31.5331223711526	0.000542977778829502	blue
ZNHIT2	-4.28365296601011	2.72575028278251	31.5286044821896	0.000543227580377612	blue
EIF2S1	1.366734741891	8.02733911682391	31.514834396395	0.000543989842680389	red
